,healthgrades,vitals,ratemds,yelp,zocdoc
2004-02-01,,,19,,
2004-03-01,,,14,,
2004-04-01,,,11,,
2004-05-01,,,7,,
2004-06-01,,,12,,
2004-07-01,,,29,,
2004-08-01,,,53,,
2004-09-01,,,78,,
2004-10-01,,,80,3.0,
2004-11-01,,,72,,
2004-12-01,,,96,1.0,
2005-01-01,,,99,1.0,
2005-02-01,,,95,,
2005-03-01,,,89,1.0,
2005-04-01,,,63,4.0,
2005-05-01,,,97,3.0,
2005-06-01,,,93,6.0,
2005-07-01,,,161,9.0,
2005-08-01,,,230,3.0,
2005-09-01,,,253,5.0,
2005-10-01,,,267,7.0,
2005-11-01,,,417,9.0,
2005-12-01,,,388,4.0,
2006-01-01,,,339,16.0,
2006-02-01,,,295,12.0,
2006-03-01,,,459,12.0,
2006-04-01,,,357,10.0,
2006-05-01,,,291,18.0,
2006-06-01,,,425,20.0,
2006-07-01,,,595,20.0,
2006-08-01,,,618,25.0,
2006-09-01,,,670,32.0,
2006-10-01,,,681,32.0,
2006-11-01,,,739,35.0,
2006-12-01,,,592,38.0,
2007-01-01,,,884,61.0,
2007-02-01,,,726,54.0,
2007-03-01,,,1248,78.0,
2007-04-01,,,1228,75.0,
2007-05-01,,,850,98.0,
2007-06-01,,,803,101.0,
2007-07-01,,,1005,95.0,
2007-08-01,,,1067,119.0,
2007-09-01,,,908,118.0,
2007-10-01,,,841,124.0,
2007-11-01,,,836,136.0,
2007-12-01,,3.0,890,114.0,
2008-01-01,,792.0,1307,164.0,
2008-02-01,,1163.0,1408,165.0,1.0
2008-03-01,,2908.0,1782,176.0,1.0
2008-04-01,,3884.0,1905,208.0,4.0
2008-05-01,,4534.0,1670,213.0,3.0
2008-06-01,,4893.0,2028,204.0,10.0
2008-07-01,,5921.0,2161,254.0,5.0
2008-08-01,,6978.0,1873,236.0,17.0
2008-09-01,,8483.0,1116,234.0,12.0
2008-10-01,,8759.0,1343,214.0,20.0
2008-11-01,,5575.0,1329,209.0,20.0
2008-12-01,,7267.0,1565,240.0,23.0
2009-01-01,,11361.0,1792,317.0,35.0
2009-02-01,,11678.0,1808,301.0,32.0
2009-03-01,,17690.0,4704,381.0,25.0
2009-04-01,,14172.0,1912,341.0,22.0
2009-05-01,,12943.0,2005,312.0,43.0
2009-06-01,,10856.0,1780,363.0,32.0
