,healthgrades,vitals,ratemds,yelp,zocdoc
2004-01-01,,,471,4,
2005-01-01,,,2252,52,
2006-01-01,,,6061,270,
2007-01-01,,3.0,11286,1173,
2008-01-01,,61157.0,19487,2517,116.0
2009-01-01,,183813.0,24320,4404,422.0
2010-01-01,,269364.0,18900,5897,2034.0
2011-01-01,,290821.0,25665,8978,8515.0
2012-01-01,,273910.0,19127,10567,19636.0
2013-01-01,,181924.0,22217,13680,27717.0
2014-01-01,179.0,894552.0,28079,17576,43281.0
2015-01-01,14571.0,1282589.0,24059,22017,61379.0
2016-01-01,356434.0,925218.0,17494,24192,66100.0
2017-01-01,359918.0,819052.0,24088,26077,64520.0
2018-01-01,346267.0,273342.0,19620,27947,66292.0
2019-01-01,420099.0,362481.0,15098,26870,67715.0
2020-01-01,365121.0,180812.0,10324,18018,55877.0
2021-01-01,258393.0,57459.0,7126,10161,67183.0
