path,total,total_google_urls,healthgrades,zocdoc,vitals,ratemds,yelp
AllResult,1058331,19944916,737126,179180,774083,178888,39344
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s0_e30000.p,30000,596959,21718,5476,24007,10560,1197
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s120000_e150000.p,30000,593889,20737,5735,23660,9762,1031
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s150000_e180000.p,30000,594431,21161,5790,23637,9570,1119
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s180000_e210000.p,30000,593889,20995,5738,23297,9703,1284
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s210000_e215000.p,5000,98868,3427,1004,3876,1541,215
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s215000_e220000.p,5000,99131,3498,950,3917,1633,211
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s220000_e225000.p,5000,99082,3583,1010,3922,1575,221
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s225000_e230000.p,5000,98976,3505,1059,3837,1621,242
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s230000_e235000.p,5000,99123,3514,1186,3881,1493,218
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s235000_e240000.p,5000,99092,3562,1026,3940,1556,205
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s240000_e270000.p,29999,592673,20654,5822,23434,9059,1442
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s270000_e300000.p,30000,592130,20051,5543,22268,8774,1399
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s300000_e330000.p,30000,590330,18448,5512,20541,7033,836
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s30000_e60000.p,30000,594644,20659,5312,23533,10042,999
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s360000_e390000.p,30000,587628,16620,5291,18302,4132,487
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s390000_e420000.p,30000,584384,15016,4416,15201,1965,298
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s420000_e450000.p,30000,577830,11096,3054,10911,100,107
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s450000_e480000.p,29999,572432,7884,2099,6266,48,46
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s480000_e490000.p,5786,110403,2236,659,578,19,14
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s490000_e495000.p,663,12780,408,50,161,2,2
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s495000_e500000.p,663,12777,414,90,194,2,1
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s500000_e510000.p,3724,72003,2704,545,1336,17,6
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s510000_e520000.p,986,18996,622,81,377,0,2
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s520000_e530000.p,2772,53716,2047,306,1313,9,4
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s530000_e540000.p,4458,85228,1448,211,639,13,3
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s540000_e550000.p,1028,19612,201,36,94,2,2
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s550000_e560000.p,2788,52322,575,67,263,8,4
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s60000_e90000.p,30000,595160,21128,5611,23700,10078,1065
IndUS2_MD_OD_DF_Keywords_GoogleSearch_s90000_e120000.p,30000,593967,21094,5630,23618,9535,1007
